Time (seconds);Time (microseconds);Position X (m);Position Y (m);Speed (m/s);Steering angle (deg)
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;0.0;0.0
0;0;0.39;2.42;33.0021125695623;-0.9788592961706385
0;9467;0.3927886389651276;2.4204647731608544;33.07876121318773;-0.9874640391025681
0;18934;0.39557727793025527;2.4209295463217093;33.15540985681317;-0.9960687820344977
0;28402;0.39836591689538287;2.421394319482564;33.232058500438605;-1.0046735249664274
0;37869;0.40115455586051046;2.4218590926434183;33.308707144064044;-1.013278267898357
0;47337;0.4039431948256381;2.422323865804273;33.38535578768948;-1.0218830108302865
0;56804;0.4067318337907657;2.4227886389651276;33.46200443131491;-1.0304877537622161
0;66272;0.4095204727558933;2.423253412125982;33.53865307494035;-1.0390924966941457
0;75739;0.41230911172102097;2.423718185286837;33.61530171856578;-1.0476972396260753
0;85206;0.41509775068614857;2.4241829584476915;33.69195036219122;-1.056301982558005
0;94674;0.41788638965127617;2.424647731608546;33.768599005816654;-1.0649067254899345
0;104141;0.4206750286164038;2.425112504769401;33.845247649442086;-1.073511468421864
0;113609;0.4234636675815314;2.4255772779302553;33.921896293067526;-1.0821162113537937
0;123076;0.426252306546659;2.42604205109111;33.99854493669296;-1.0907209542857232
0;132544;0.4290409455117867;2.4265068242519647;34.0751935803184;-1.0993256972176528
0;142011;0.4318295844769143;2.426971597412819;34.15184222394383;-1.1079304401495824
0;151478;0.4346182234420419;2.4274363705736737;34.22849086756926;-1.116535183081512
0;160946;0.4374068624071695;2.427901143734528;34.3051395111947;-1.1251399260134418
0;170413;0.4401955013722971;2.428365916895383;34.381788154820136;-1.1337446689453714
0;179881;0.4429841403374247;2.4288306900562375;34.458436798445575;-1.142349411877301
0;189348;0.4457727793025524;2.429295463217092;34.53508544207101;-1.1509541548092306
0;198816;0.44856141826768;2.429760236377947;34.61173408569644;-1.1595588977411602
0;208283;0.45360524988132994;2.4302253281175834;34.69550264630793;-1.1620406146472997
0;217750;0.46105214920810184;2.4306907593255067;34.78685798343737;-1.1579978130566173
0;227218;0.46849904853487373;2.4311561905334296;34.878213320566815;-1.1539550114659347
0;236685;0.47594594786164557;2.431621621741353;34.96956865769626;-1.1499122098752523
0;246153;0.48339284718841746;2.432087052949276;35.0609239948257;-1.14586940828457
0;255620;0.49083974651518936;2.4325524841571995;35.15227933195514;-1.1418266066938874
0;265088;0.4982866458419612;2.433017915365123;35.243634669084585;-1.137783805103205
0;274555;0.5057335451687331;2.433483346573046;35.33499000621403;-1.1337410035125226
0;284022;0.513180444495505;2.433948777780969;35.42634534334347;-1.12969820192184
0;293490;0.5206273438222768;2.4344142089888923;35.51770068047291;-1.1256554003311576
0;302957;0.5280742431490487;2.4348796401968156;35.609056017602356;-1.1216125987404753
0;312425;0.5355211424758206;2.435345071404739;35.7004113547318;-1.1175697971497927
0;321892;0.5429680418025925;2.435810502612662;35.79176669186124;-1.1135269955591103
0;331360;0.5504149411293644;2.4362759338205855;35.883122028990684;-1.109484193968428
0;340827;0.5578618404561363;2.4367413650285084;35.97447736612013;-1.1054413923777453
0;350294;0.5653087397829082;2.4372067962364317;36.06583270324957;-1.101398590787063
0;359762;0.5727556391096801;2.437672227444355;36.15718804037901;-1.0973557891963805
0;369229;0.5802025384364519;2.4381376586522783;36.248543377508454;-1.093312987605698
0;378697;0.5876494377632238;2.4386030898602016;36.3398987146379;-1.0892701860150156
0;388164;0.5950963370899957;2.439068521068125;36.43125405176734;-1.0852273844243332
0;397632;0.6025432364167675;2.4395339522760477;36.52260938889678;-1.0811845828336506
0;407099;0.6099901357435394;2.439999383483971;36.61396472602623;-1.0771417812429682
0;416566;0.6200352104978385;2.4409557343331274;36.70788201689553;-1.025663612902996
0;426034;0.6300837313927709;2.441912736323121;36.80180270586212;-0.9741225277395194
0;435501;0.6401322522877032;2.4428697383131146;36.895723394828714;-0.9225814425760428
0;444969;0.6501807731826356;2.443826740303108;36.98964408379531;-0.8710403574125661
0;454436;0.6602292940775679;2.444783742293102;37.0835647727619;-0.8194992722490893
0;463904;0.6702778149725003;2.4457407442830954;37.177485461728494;-0.7679581870856127
0;473371;0.6803263358674326;2.4466977462730886;37.271406150695086;-0.716417101922136
0;482838;0.6903748567623649;2.447654748263082;37.365326839661684;-0.6648760167586597
