Time (seconds);Time (microseconds);Position X (m);Position Y (m);Speed (m/s);Steering angle (deg)
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;0.0;0.0
0;0;0.37;2.42;49.618999283704945;-0.35387657005583417
0;9020;0.37;2.42;49.72960839340459;-0.3722097380930212
0;18040;0.37;2.42;49.84021750310423;-0.39054290613020826
0;27060;0.37;2.42;49.95082661280387;-0.4088760741673953
0;36080;0.37;2.42;50.06143572250351;-0.42720924220458234
0;45100;0.37;2.42;50.172044832203156;-0.4455424102417694
0;54120;0.37;2.42;50.282653941902794;-0.4638755782789564
0;63140;0.37;2.42;50.39326305160244;-0.4822087463161434
0;72160;0.37;2.42;50.503872161302084;-0.5005419143533305
0;81180;0.37;2.42;50.61448127100172;-0.5188750823905175
0;90200;0.37;2.42;50.72509038070137;-0.5372082504277046
0;99220;0.37;2.42;50.835699490401005;-0.5555414184648916
0;108240;0.37;2.42;50.94630860010065;-0.5738745865020787
0;117261;0.37;2.42;51.05691770980029;-0.5922077545392657
0;126281;0.37;2.42;51.16752681949993;-0.6105409225764526
0;135301;0.37;2.42;51.27813592919958;-0.6288740906136397
0;144321;0.37;2.42;51.388745038899216;-0.6472072586508268
0;153341;0.37;2.42;51.49935414859886;-0.6655404266880138
0;162361;0.37;2.42;51.6099632582985;-0.6838735947252009
0;171381;0.37;2.42;51.720572367998145;-0.7022067627623879
