;Time (seconds);Time (microseconds);Speed (m/s);Steering angle (deg);Lane change;timestamp;Morton_Index
0;0;0;15.0;0.0;0;0.0;50745
1;0;10000;14.973965895465412;-0.0378610227698669;0;0.01;50738
2;0;20000;14.954005850747906;-0.0387607871884982;0;0.02;50738
3;0;30000;14.940821492600236;-0.0396087887774911;0;0.03;50738
4;0;40000;14.957631443042914;-0.0404688570023704;0;0.04;50738
5;0;50000;14.961921231994951;-0.0412732845555283;0;0.05;50738
6;0;60000;14.930574035900984;-0.0421895514855927;0;0.06;50738
7;0;70000;14.922156062895247;-0.0432470827472641;0;0.07;50738
8;0;80000;14.913583498790608;-0.0440445934377743;0;0.08;50738
9;0;90000;14.91294029459391;-0.0446791521142894;0;0.09;50738
10;0;100000;14.896427033151188;-0.0452539350177555;0;0.1;50738
11;0;110000;14.898040904284969;-0.0458899853570212;0;0.11;50738
12;0;120000;14.889185030636558;-0.0461507939837738;0;0.12;50738
13;0;130000;14.910545332842537;-0.0464425509989637;0;0.13;50738
14;0;140000;14.935593723932843;-0.0470084852006854;0;0.14;50738
15;0;150000;14.950552759569517;-0.0475677945394597;0;0.15;50738
16;0;160000;14.943871052744525;-0.0485002271282075;0;0.16;50738
17;0;170000;14.960327668048391;-0.0492915913907576;0;0.17;50738
18;0;180000;14.942499556321335;-0.0499674597737003;0;0.18;50738
19;0;190000;14.94040884201084;-0.0510609064417101;0;0.19;50738
20;0;200000;14.917460693097;-0.0523465735773584;0;0.2;50738
21;0;210000;14.918087782691744;-0.0537167780373307;0;0.21;50738
22;0;220000;14.91421220718386;-0.0548161304286334;0;0.22;50738
23;0;230000;14.922962723732494;-0.0559300999055953;0;0.23;50738
24;0;240000;14.919922897893684;-0.0571135475565551;0;0.24;50738
25;0;250000;14.91421055680226;-0.0580824941527347;0;0.25;50738
26;0;260000;14.897668862478469;-0.0589454447701709;0;0.26;50738
27;0;270000;14.927359250694137;-0.0601009790707036;0;0.27;50738
28;0;280000;14.9240638682137;-0.0612616175417315;0;0.28;50738
29;0;290000;14.929522395079696;-0.0624097934066333;0;0.29;50738
30;0;300000;14.934358486470432;-0.0636978622532563;0;0.3;50738
31;0;310000;14.907857760292154;-0.0646612486229528;0;0.31;50738
32;0;320000;14.893179859062885;-0.0654803247039515;0;0.32;50738
33;0;330000;14.914514397026934;-0.0665421194894582;0;0.33;50738
34;0;340000;14.918350458702545;-0.0674593561116014;0;0.34;50738
35;0;350000;14.928350425878165;-0.0683261838758879;0;0.35;50738
36;0;360000;14.932048155384974;-0.069218977957097;0;0.36;50738
37;0;370000;14.954515041200724;-0.0700027369517328;0;0.37;50738
38;0;380000;14.930671011345488;-0.0705695156242098;0;0.38;50738
39;0;390000;14.91692493780316;-0.0713932071162544;0;0.39;50738
40;0;400000;14.933680606091242;-0.0722453455481532;0;0.4;50738
41;0;410000;14.928288150001274;-0.0729702453350194;0;0.41;50738
42;0;420000;14.925004953987962;-0.0735829435418628;0;0.42;50738
43;0;430000;14.917632344342532;-0.0745418198419592;0;0.43;50738
44;0;440000;14.895437832581438;-0.0755191596418097;0;0.44;50738
45;0;450000;14.901070579229716;-0.0759514671818577;0;0.45;50738
46;0;460000;14.910626440152232;-0.0758027227283806;0;0.46;50738
47;0;470000;14.920554413412065;-0.0758131542344013;0;0.47;50738
48;0;480000;14.904371925063057;-0.0759923692060212;0;0.48;50738
49;0;490000;14.90669079606954;-0.0760564493416871;0;0.49;50738
50;0;500000;14.919246201472884;-0.0762684874823353;0;0.5;50738
51;0;510000;14.910023558136867;-0.0766369958763006;0;0.51;50738
52;0;520000;14.915199841100709;-0.0762896129980455;0;0.52;50738
53;0;530000;14.913993177512072;-0.0751728970157858;0;0.53;50738
54;0;540000;14.9195572446842;-0.0738951689923983;0;0.54;50738
55;0;550000;14.90837330699357;-0.0731015745680537;0;0.55;50738
56;0;560000;14.894246873832858;-0.0723163504848243;0;0.56;50738
57;0;570000;14.92024893094898;-0.0710507079045147;0;0.57;50738
58;0;580000;14.936544132348487;-0.0696701752332558;0;0.58;50738
59;0;590000;14.942521709653391;-0.0679981243438389;0;0.59;50738
60;0;600000;14.936394966073427;-0.0661006059492682;0;0.6;50738
61;0;610000;14.97391913732474;-0.0643276549254983;0;0.61;50738
62;0;620000;14.970824298481014;-0.0624865862167918;0;0.62;50738
63;0;630000;14.943406579827828;-0.0607888611240284;0;0.63;50738
64;0;640000;14.94406906612257;-0.0594189243971022;0;0.64;50738
65;0;650000;14.906756741125216;-0.0582026798358988;0;0.65;50738
66;0;660000;14.920863573744992;-0.0568200056200147;0;0.66;50738
67;0;670000;14.932413161705728;-0.055110291236724;0;0.67;50738
68;0;680000;14.890655333199028;-0.0536562788105967;0;0.68;50738
69;0;690000;14.871433286435163;-0.0517061924000613;0;0.69;50738
70;0;700000;14.862979554002774;-0.0496705455026118;0;0.7;50738
71;0;710000;14.890064760869729;-0.0473500946309873;0;0.71;50738
72;0;720000;14.888603052303814;-0.0451085259286516;0;0.72;50738
73;0;730000;14.881655234904017;-0.0426546948725394;0;0.73;50738
74;0;740000;14.903105340382044;-0.0399982078221249;0;0.74;50738
75;0;750000;14.913704938256378;-0.0372677818349937;0;0.75;50738
76;0;760000;14.884446569946723;-0.0345253304913765;0;0.76;50738
77;0;770000;14.883936152897212;-0.0318211347908793;0;0.77;50738
78;0;780000;14.885182413509815;-0.0296352988823755;0;0.78;50738
79;0;790000;14.871193115337704;-0.0274865229074766;0;0.79;50738
80;0;800000;14.903661363030352;-0.025618676458481;0;0.8;50738
81;0;810000;14.918092391900128;-0.0239267477584732;0;0.81;50738
82;0;820000;14.893820521449332;-0.0218839853145874;0;0.82;50738
83;0;830000;14.908276337785678;-0.0198781646214757;0;0.83;50738
84;0;840000;14.91331722357135;-0.0180581375971532;0;0.84;50738
85;0;850000;14.910720591879093;-0.0162452123757312;0;0.85;50738
86;0;860000;14.921624100536423;-0.0147174905828078;0;0.86;50738
87;0;870000;14.943322132752291;-0.0132177804539283;0;0.87;50738
88;0;880000;14.917630850795543;-0.0118300355640062;0;0.88;50738
89;0;890000;14.914786156810116;-0.0101252134642937;0;0.89;50738
90;0;900000;14.927510021313385;-0.0081375897582019;0;0.9;50738
91;0;910000;14.93873017931566;-0.0060785768364108;0;0.91;50738
92;0;920000;14.904112369990363;-0.0039755290202286;0;0.92;50738
93;0;930000;14.902266020014942;-0.0017651444567552;0;0.93;50738
94;0;940000;14.956769245995202;0.0009878513165639;0;0.94;50744
95;0;950000;15.014874445347717;0.0038347381002697;0;0.95;50745
96;0;960000;14.99895684939793;0.0069805018464763;0;0.96;50744
97;0;970000;14.982078502838004;0.0099578429680084;0;0.97;50744
98;0;980000;14.993591986433415;0.0126378231044581;0;0.98;50744
99;0;990000;14.978796185935176;0.0153731194672056;0;0.99;50744
100;1;0;14.963149160603466;0.0173751507751242;0;1.0;50744
101;1;10000;15.008704183290927;0.0193318898687943;0;1.01;50745
102;1;20000;15.065677448973872;0.0213777017836445;0;1.02;50745
103;1;30000;15.068594294938991;0.0237971055604924;0;1.03;50745
104;1;40000;15.036990885477373;0.0263624442294821;0;1.04;50745
105;1;50000;15.040443640317887;0.0287207890842023;0;1.05;50745
106;1;60000;15.057138293931946;0.0310955569819861;0;1.06;50745
107;1;70000;15.060209330021138;0.0337355589081232;0;1.07;50745
108;1;80000;15.0807885877323;0.036281689732001;0;1.08;50745
109;1;90000;15.102692134050985;0.0389097735568143;0;1.09;50745
110;1;100000;15.07372213552817;0.0411069555187843;0;1.1;50745
111;1;110000;15.08214777515562;0.0436502530851963;0;1.11;50745
112;1;120000;15.0589575399129;0.0455823953250876;0;1.12;50745
113;1;130000;15.047539005535151;0.0478200038509421;0;1.13;50745
114;1;140000;15.05721818005319;0.0499674980156425;0;1.1400000000000001;50745
115;1;150000;15.088820181157924;0.0516517277014251;0;1.15;50745
116;1;160000;15.114842491073592;0.0537179507118347;0;1.16;50745
117;1;170000;15.105728910661124;0.0555978883522139;0;1.17;50745
118;1;180000;15.137508197374876;0.0573163142686817;0;1.18;50745
119;1;190000;15.143973531755789;0.0599692706305009;0;1.19;50745
120;1;200000;15.149505780259451;0.0625108921429393;0;1.2;50745
121;1;210000;15.14224465292531;0.0656590526065028;0;1.21;50745
122;1;220000;15.159595312795078;0.068513099143252;0;1.22;50745
123;1;230000;15.188611428773944;0.071626267946911;0;1.23;50745
124;1;240000;15.192965496606805;0.0747267372238333;0;1.24;50745
125;1;250000;15.18845569116398;0.0774402152689314;0;1.25;50745
126;1;260000;15.168088432528185;0.0802054642339502;0;1.26;50745
127;1;270000;15.145942841544516;0.0835170662257265;0;1.27;50745
128;1;280000;15.138941465703592;0.0864329187384177;0;1.28;50745
129;1;290000;15.116307039979253;0.0895349863523777;0;1.29;50745
130;1;300000;15.103551356471208;0.0928604361972461;0;1.3;50745
131;1;310000;15.11213400468074;0.0958143984509131;0;1.31;50745
132;1;320000;15.093761928374052;0.0989772786779781;0;1.32;50745
133;1;330000;15.096517099459186;0.102496970855792;0;1.33;50745
134;1;340000;15.09964298084474;0.1055261570368572;0;1.34;50745
135;1;350000;15.081122605170512;0.1082542788386479;0;1.35;50745
136;1;360000;15.082019168272916;0.1108203274308951;0;1.3599999999999999;50745
137;1;370000;15.093289530192934;0.1132222170877264;0;1.37;50745
138;1;380000;15.101153221316745;0.11517671507435;0;1.38;50745
139;1;390000;15.115687308412337;0.1177311039375202;0;1.3900000000000001;50745
140;1;400000;15.139581898270356;0.1203981016113691;0;1.4;50745
141;1;410000;15.138592931619494;0.1230085937124245;0;1.41;50745
142;1;420000;15.146043410335308;0.1253034378683764;0;1.42;50745
143;1;430000;15.192931921674443;0.1286149013591136;0;1.43;50745
144;1;440000;15.18012651095202;0.1321396067348108;0;1.44;50745
145;1;450000;15.215646953850376;0.1352587205850876;0;1.45;50745
146;1;460000;15.20836055230544;0.1375750666211833;0;1.46;50745
147;1;470000;15.188552427057038;0.1401702191323936;0;1.47;50745
148;1;480000;15.177901561337803;0.1425242437723969;0;1.48;50745
149;1;490000;15.1068939268614;0.1448248981090305;0;1.49;50745
150;1;500000;15.1149201108399;0.1470565009638784;0;1.5;50745
151;1;510000;15.114604749621886;0.1496574634531122;0;1.51;50745
152;1;520000;15.157140218785491;0.1519080934562547;0;1.52;50745
153;1;530000;15.17052704441105;0.1532327545013387;0;1.53;50745
154;1;540000;15.15539173015622;0.1543880021908429;0;1.54;50745
155;1;550000;15.145850096771944;0.1560518199173221;0;1.55;50745
156;1;560000;15.15824706644657;0.1578350024661198;0;1.56;50745
157;1;570000;15.174862013336751;0.1595569297503927;0;1.5699999999999998;50745
158;1;580000;15.19935251482982;0.1609618300073224;0;1.58;50745
159;1;590000;15.162239905850395;0.1617958687523337;0;1.5899999999999999;50745
160;1;600000;15.190724722714627;0.1624053441663408;0;1.6;50745
161;1;610000;15.167133361313867;0.1633940882641036;0;1.6099999999999999;50745
162;1;620000;15.194585151066466;0.1635955975554608;0;1.62;50745
163;1;630000;15.158155996297872;0.1639480073441083;0;1.63;50745
164;1;640000;15.11249203470082;0.1646498611010471;0;1.6400000000000001;50745
165;1;650000;15.113379042166178;0.1654078975600618;0;1.65;50745
166;1;660000;15.10885733778291;0.1656232707298515;0;1.6600000000000001;50745
167;1;670000;15.104255753352517;0.1658364512552163;0;1.67;50745
168;1;680000;15.155950969380946;0.1662802509612145;0;1.6800000000000002;50745
169;1;690000;15.125595437679;0.1664374991293391;0;1.69;50745
170;1;700000;15.177795600359122;0.1664637770857064;0;1.7;50745
171;1;710000;15.17546941454465;0.1662949321021883;0;1.71;50745
172;1;720000;15.199919932669712;0.1659029878212524;0;1.72;50745
173;1;730000;15.191702162596254;0.1654047037587128;0;1.73;50745
