Time (seconds);Time (microseconds);Speed (m/s);Steering angle (deg);Lane change
0;0;30.040366185925706;-0.0;0
0;10000;30.045815878767918;-0.0;0
0;20000;30.029876930525926;-0.0;0
0;30000;30.03048256109849;-0.0;0
0;40000;30.02281673296191;-0.0;0
0;50000;29.951132914712385;-0.0;0
0;60000;29.91484261423052;-0.0;0
0;70000;29.96000936437361;-0.0;0
0;80000;29.907564394397138;-0.0;0
0;90000;29.925149368132384;-0.0;0
0;100000;29.97939779044951;-0.0;0
0;110000;30.001829312636826;-0.0;0
0;120000;29.985056385882217;-0.0;0
0;130000;29.922185160558527;-0.0;0
0;140000;29.825781134885766;-0.0;0
0;150000;29.79459192145501;-0.0;0
0;160000;29.81828763677147;-0.0;0
0;170000;29.85178635338659;-0.0;0
0;180000;29.783569241397352;-0.0;0
0;190000;29.801283703332075;-0.0;0
0;200000;29.845400556551397;-0.0;0
0;210000;29.832544315577575;-0.0;0
0;220000;29.905594978632227;-0.0;0
0;230000;29.95178504605165;-0.0;0
0;240000;29.969019577724087;-0.0;0
0;250000;29.928662273103118;-0.0;0
0;260000;29.85099122190735;-0.0;0
0;270000;29.814818400420155;-0.0;0
0;280000;29.885615075354675;-0.0;0
0;290000;29.904584861190315;-0.0;0
0;300000;29.763826852505233;-0.0;0
0;310000;29.818567856875127;-0.0;0
0;320000;29.825358743666644;-0.0;0
0;330000;29.80814870897036;-0.0;0
0;340000;29.889627507027654;-0.0;0
0;350000;30.07995335880707;-0.0;0
0;360000;30.229501436311754;-0.0;0
0;370000;30.147378043034564;-0.0;0
0;380000;30.15005998734706;-0.0;0
0;390000;30.111080815219164;-0.0;0
0;400000;30.190368969175317;-0.0;0
0;410000;30.361697704103392;-0.0;0
0;420000;30.32211132299544;-0.0;0
0;430000;30.40927068223554;-0.0;0
0;440000;30.297238771626077;-0.0;0
0;450000;30.302478831933943;-0.0;0
0;460000;30.149061886544125;-0.0;0
0;470000;30.24992407495843;-0.0;0
0;480000;30.25493927133182;-0.0;0
0;490000;30.25476002064821;-0.0;0
0;500000;30.194114416748352;-0.0;0
0;510000;30.234430509360784;-0.0;0
0;520000;30.183571829435454;-0.0;0
0;530000;30.27320038290371;-0.0;0
0;540000;30.205951711794338;-0.0;0
0;550000;30.246397852178983;-0.0;0
0;560000;30.21270875273661;-0.0;0
0;570000;30.133546124511287;-0.0;0
0;580000;30.129622627036404;-0.0;0
0;590000;30.171331634851732;-0.0;0
0;600000;30.096482916128224;-0.0;0
0;610000;30.104088881946964;-0.0;0
0;620000;30.152679059475126;-0.0;0
0;630000;30.289273347690923;-0.0;0
0;640000;30.315640016916955;-0.0;0
0;650000;30.25708997832869;-0.0;0
0;660000;30.245780516750084;-0.0;0
0;670000;30.196066346651147;-0.0;0
0;680000;30.167058701623464;-0.0;0
0;690000;30.046799454017894;-0.0;0
0;700000;29.961694126804762;-0.0;0
0;710000;29.899670407868566;-0.0;0
0;720000;29.924364115824403;-0.0;0
0;730000;29.952527153007416;-0.0;0
0;740000;29.98067592342049;-0.0;0
0;750000;29.939569915913882;-0.0;0
0;760000;29.931180824435497;-0.0;0
0;770000;29.93515007064806;-0.0;0
0;780000;30.025766840954674;-0.0;0
0;790000;30.020477563576794;-0.0;0
0;800000;30.037001447579467;-0.0;0
0;810000;29.895610627815152;-0.0;0
0;820000;30.064258308764956;-0.0;0
0;830000;30.193359034853405;-0.0;0
0;840000;30.172697752895136;-0.0;0
0;850000;30.089111403162633;-0.0;0
0;860000;29.884665622009816;-0.0;0
0;870000;29.816502620217133;-0.0;0
0;880000;29.909944246805857;-0.0;0
0;890000;29.94346439947524;-0.0;0
0;900000;29.73810902877828;-0.0;0
0;910000;29.758060700577133;-0.0;0
0;920000;29.656878431609428;-0.0;0
0;930000;29.608465051483304;-0.0;0
0;940000;29.624697914578206;-0.0;0
0;950000;29.650025920860934;-0.0;0
0;960000;29.785379562056285;-0.0;0
0;970000;29.733648986754364;-0.0;0
0;980000;29.815309856918223;-0.0;0
0;990000;29.796006769971626;-0.0;0
1;0;29.761904875283015;-0.0;0
1;10000;29.728370587113446;-0.0;0
1;20000;29.78122582727146;-0.0;0
1;30000;29.76272728276281;-0.0;0
1;40000;29.784991397284365;-0.0;0
1;50000;29.850202045920046;-0.0;0
1;60000;29.873774864080104;-0.0;0
1;70000;29.878951814231776;-0.0;0
1;80000;29.88083597936254;-0.0;0
1;90000;29.81064338215221;-0.0;0
1;100000;29.923557088547703;-0.0;0
1;110000;29.948227170655436;-0.0;0
1;120000;29.92057404400519;-0.0;0
1;130000;29.779994453267978;-0.0;0
1;140000;29.912817787379876;-0.0;0
1;150000;30.136901238106375;-0.0;0
1;160000;30.125009402026155;-0.0;0
1;170000;30.170824226260265;-0.0;0
1;180000;30.16991047294545;-0.0;0
1;190000;30.32234168782302;-0.0;0
1;200000;30.398697482947398;-0.0;0
1;210000;30.54717167105921;-0.0;0
1;220000;30.548241777379886;-0.0;0
1;230000;30.52531037885146;-0.0;0
1;240000;30.417050820519176;-0.0;0
1;250000;30.59388777285606;-0.0;0
1;260000;30.601267153815623;-0.0;0
1;270000;30.559448399828717;-0.0;0
1;280000;30.493313288049446;-0.0;0
1;290000;30.47319216395822;-0.0;0
